ano,id_municipio,quantidade_vinculos_ativos,cnae_2,cep
2023,4314902,29,56112,90570050
2023,4314902,13,49302,91110390
2023,4314902,13,49302,91140450
2023,4314902,14,49302,91150170
2023,4314902,31,49302,90230130
2023,4314902,21,49302,90200041
2023,4314902,69,49302,91150170
2023,4314902,81,49302,90200001
2023,4314902,13,49302,90245050
2023,4314902,26,49302,91150180
2023,4314902,110,49302,90020007
2023,4314902,53,49302,90200290
2023,4314902,14,41107,90450120
2023,4314902,22,41107,90450120
2023,4314902,27,41107,90450120
2023,4314902,15,41107,91370000
2023,4314902,19,68102,90810080
2023,4314902,39,41107,90690140
2023,4314902,20,41107,91330001
2023,4314902,27,68102,91350000
2023,4314902,28,68102,90200041
2023,4314902,70,81117,90050320
2023,4314902,25,81117,90460200
2023,4314902,196,68218,90410001
2023,4314902,73,81117,90240600
2023,4314902,25,81117,91370100
2023,4314902,25,81117,91720000
2023,4314902,21,68218,90035072
2023,4314902,21,81117,90690140
2023,4314902,229,68218,90480001
2023,4314902,34,81117,90010190
2023,4314902,54,81117,91770000
2023,4314902,14,81117,91720480
2023,4314902,54,81117,90690150
2023,4314902,34,81117,90480020
2023,4314902,38,81117,91360054
2023,4314902,24,81125,91110000
2023,4314902,20,81125,91060410
2023,4314902,31,81125,90430060
2023,4314902,12,81125,91010003
2023,4314902,15,81125,90110001
2023,4314902,51,81125,90470320
2023,4314902,39,62091,90610001
2023,4314902,31,62091,90110000
2023,4314902,22,69125,90160007
2023,4314902,20,69117,90810160
2023,4314902,14,69117,90020022
2023,4314902,42,69117,90010230
2023,4314902,19,69117,90110230
2023,4314902,13,69117,91330001
2023,4314902,45,69125,90560002
2023,4314902,19,69117,90410005
2023,4314902,44,69125,91780060
2023,4314902,23,69125,91910001
2023,4314902,70,69117,90010140
2023,4314902,72,69117,90510002
2023,4314902,33,69117,90050350
2023,4314902,48,69117,90480000
2023,4314902,25,69206,90440191
2023,4314902,25,69206,90680001
2023,4314902,15,69206,91910001
2023,4314902,14,69206,90550005
2023,4314902,21,69206,90640003
2023,4314902,16,69206,90480000
2023,4314902,18,69206,90610280
2023,4314902,12,69206,91110000
2023,4314902,36,69206,90540041
2023,4314902,21,69206,90240001
2023,4314902,16,69206,90050350
2023,4314902,16,69206,90130100
2023,4314902,45,64620,90560002
2023,4314902,62,64620,91150010
2023,4314902,12,64620,90010001
2023,4314902,20,64620,90200971
2023,4314902,54,70204,90480000
2023,4314902,66,70204,90550141
2023,4314902,21,70204,90470340
2023,4314902,209,70204,90480000
2023,4314902,46,70204,90430000
2023,4314902,137,85503,90619900
2023,4314902,44,71120,90230181
2023,4314902,38,71111,90550090
2023,4314902,36,71197,90420120
2023,4314902,34,71120,91787889
2023,4314902,29,71120,91040480
2023,4314902,14,71197,90050101
2023,4314902,50,71120,90560002
2023,4314902,79,71120,90230110
2023,4314902,13,71197,91230260
2023,4314902,186,73114,90035073
2023,4314902,21,73190,91130010
2023,4314902,36,73190,90110000
2023,4314902,69,73114,90240111
2023,4314902,25,73190,90460040
